Feature,Feature Name,note,"""-log(p)""",p-val,beta,Conf-interval beta,std_error,category_string,ICD-9,ICD-10,pval_fdr,bon_sig,fdr_sig
Energy_Luminal_Space,Energy_Luminal_Space,,0.41487941252259763,0.38469858375234156,24.700923059376727,"[-30.99273891971982, 80.39458503847328]",28.415655807148013,,,,0.6441464658178743,False,False
Homogeneity_Luminal_Space,Homogeneity_Luminal_Space,,0.38903708199112075,0.4082845236989443,27.53622558853227,"[-37.73037116130952, 92.80282233837407]",33.29989594944416,,,,0.6681019478709997,False,False
Homogeneity_Eosinophilic,Homogeneity_Eosinophilic,,0.3129478870907865,0.486465575338056,-24.518637042629226,"[-93.56992593734635, 44.53265185208791]",35.230896812076594,,,,0.7783449205408897,False,False
Standard_Deviation_Green_Eosinophilic,Standard_Deviation_Green_Eosinophilic,,0.2576419977607012,0.5525327212439242,0.2532971658690724,"[-0.5825261936937494, 1.0891205254318943]",0.42644832566092533,,,,0.845363413273973,False,False
Contrast_Eosinophilic,Contrast_Eosinophilic,,0.23358559281255434,0.5840020978518063,-0.002936249865016017,"[-0.013446635884308505, 0.0075741361542764705]",0.005362540384515773,,,,0.845363413273973,False,False
Sum_Distance_Transform_Eosinophilic,Sum_Distance_Transform_Eosinophilic,,0.2321579732230938,0.5859249974107928,1.779804073079223e-05,"[-4.623770908400054e-05, 8.1833790545585e-05]",3.267190127976769e-05,,,,0.845363413273973,False,False
Standard_Deviation_Blue_Eosinophilic,Standard_Deviation_Blue_Eosinophilic,,0.21865244198698958,0.604432151984213,0.22091547041506784,"[-0.6149051435859383, 1.056736084416074]",0.4264469248383402,,,,0.845363413273973,False,False
Contrast_Luminal_Space,Contrast_Luminal_Space,,0.2170326218489732,0.6066907565536466,-0.0024324038778927295,"[-0.011693082029823571, 0.006828274274038113]",0.004724922613363251,,,,0.845363413273973,False,False
Standard_Deviation_Aspect_Ratio_Nuclei,Standard_Deviation_Aspect_Ratio_Nuclei,,0.2135677878515197,0.6115503402653777,-3.4232381611270895,"[-16.63436155541657, 9.787885233162394]",6.7404929368586055,,,,0.845363413273973,False,False
Sum_Distance_Transform_Luminal_Space,Sum_Distance_Transform_Luminal_Space,,0.21098761253039955,0.6151944197748401,-1.647603818318288e-05,"[-8.071752703143127e-05, 4.7765450665065515e-05]",3.277687210325142e-05,,,,0.845363413273973,False,False
Standard_Deviation_Red_Eosinophilic,Standard_Deviation_Red_Eosinophilic,,0.20601317888640372,0.6222814014377858,0.19970303780485288,"[-0.594846686547816, 0.9942527621575218]",0.4053899615605061,,,,0.845363413273973,False,False
Total_Object_Aspect_Ratio,Total_Object_Aspect_Ratio,,0.19561377208242758,0.6373620894790013,5.494590345589331,"[-17.351023403669295, 28.340204094847955]",11.656139566574648,,,,0.8498161193053351,False,False
Homogeneity_Nuclei,Homogeneity_Nuclei,,0.1784360235525242,0.663077019157279,250.31521345117676,"[-875.7896670428636, 1376.420093945217]",574.5538639365886,,,,0.8680280978058926,False,False
Mean_Green_Nuclei,Mean_Green_Nuclei,,0.15338889784782245,0.7024430212425925,-0.041708625194177035,"[-0.25569320983168403, 0.17227595944332996]",0.10917781465648864,,,,0.8981477422939155,False,False
Mean_Green_Luminal_Space,Mean_Green_Luminal_Space,,0.14114000511651897,0.722536839183316,-0.10578212941509052,"[-0.6896921218621028, 0.47812786303192173]",0.2979187357792387,,,,0.8981477422939155,False,False
Nuclei_Area_By_Object_Area,Nuclei_Area_By_Object_Area,,0.14055672033761024,0.7235079035145431,-111.74761559430692,"[-730.8462702436339, 507.35103905502]",315.8724647660356,,,,0.8981477422939155,False,False
Standard_Deviation_Green_Luminal_Space,Standard_Deviation_Green_Luminal_Space,,0.11993057107002236,0.7586988555004045,0.18703085089227148,"[-1.0062823648518477, 1.3803440666363909]",0.6088444609986825,,,,0.9129653467162706,False,False
Standard_Deviation_Red_Nuclei,Standard_Deviation_Red_Nuclei,,0.1187269526486161,0.7608044555968922,-0.23060952880336147,"[-1.7153332460469635, 1.2541141884402407]",0.7575260203528806,,,,0.9129653467162706,False,False
Mean_Red_Eosinophilic,Mean_Red_Eosinophilic,,0.09798626826349367,0.7980199190553302,-0.03811441582418547,"[-0.3300245635192362, 0.2537957318708653]",0.14893648556687814,,,,0.9419251503603898,False,False
Standard_Deviation_Red_Luminal_Space,Standard_Deviation_Red_Luminal_Space,,0.0806573266205813,0.8305058068858393,0.11684036267141759,"[-0.9530022118077666, 1.1866829371506018]",0.5458480782901961,,,,0.9589383528606761,False,False
Standard_Deviation_Blue_Nuclei,Standard_Deviation_Blue_Nuclei,,0.07091747976566264,0.8493418430309959,-0.1989339756245777,"[-2.2515082573261034, 1.8536403060769477]",1.0472510198615739,,,,0.9589383528606761,False,False
Correlation_Eosinophilic,Correlation_Eosinophilic,,0.06232902691885322,0.8663053033678421,11.547218886443929,"[-122.88510914253727, 145.97954691542515]",68.58918280609555,,,,0.9589383528606761,False,False
Mean_Blue_Luminal_Space,Mean_Blue_Luminal_Space,,0.056885128978654394,0.8772328188054999,0.05431355075489713,"[-0.6347979761172273, 0.7434250776270217]",0.3515939743320532,,,,0.9589383528606761,False,False
Standard_Deviation_Blue_Luminal_Space,Standard_Deviation_Blue_Luminal_Space,,0.05599787225157414,0.8790268234556197,-0.08056232921341835,"[-1.1179877278968502, 0.9568630694700135]",0.5293083989637111,,,,0.9589383528606761,False,False
Energy_Nuclei,Energy_Nuclei,,0.04221857881479308,0.9073637424050389,49.16090044997674,"[-778.8723133210965, 877.1941142210499]",422.47368844657024,,,,0.9671479138295709,False,False
Mean_Blue_Eosinophilic,Mean_Blue_Eosinophilic,,0.039330684360235076,0.9134174741723725,-0.013501319527407539,"[-0.25687806947390046, 0.2298754304190854]",0.12417409292528725,,,,0.9671479138295709,False,False
Contrast_Nuclei,Contrast_Nuclei,,0.026092154806512953,0.9416897541380154,0.0031323632811891544,"[-0.08079977154645043, 0.08706449810882874]",0.042823304657476136,,,,0.9816720164508919,False,False
Mean_Blue_Nuclei,Mean_Blue_Nuclei,,0.02026804524740331,0.954403349327256,-0.004835063558548837,"[-0.17057257244009594, 0.16090244532299824]",0.08456150734853468,,,,0.9816720164508919,False,False
Mean_Red_Nuclei,Mean_Red_Nuclei,,0.01007404419843271,0.9770706229866046,-0.0027648609556490122,"[-0.1913074221351639, 0.1857777002238659]",0.09619695191682835,,,,0.9908321810568385,False,False
Mean_Red_Luminal_Space,Mean_Red_Luminal_Space,,0.001627020351915883,0.9962606560161212,-0.0016101898357594457,"[-0.6750026131595815, 0.6717822334880627]",0.3435738761709172,,,,0.9962606560161212,False,False
